"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type","date_ym","생활물가지수","식품","식품_이외","전월세","전월세포함_생활물가지수","생활물가지수_up","식품_up","식품_이외_up","전월세_up","전월세포함_생활물가지수_up","Dubai","Brent","WTI","구름많음","구름조금","눈","맑음","비","흐림","min_Temperature_sum","max_Temperature_sum","Precipitation_sum","snow_sum","date_end","before_count","agenda1"
20170801,112,114775,114700,115400,1,1,0,1,120.5883871,"energy_total_location_out",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,361.44,365.39,346.9,1,0,0,0,3,1,123.4,149.7,14,0,0,23735,0
20170801,25203,127337,123000,128000,1,1,1,0,75.7583871,"energy_total_location_in",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,361.44,365.39,346.9,1,0,0,0,3,1,123.4,149.7,14,0,0,112,0
20170803,27,115600,115600,115600,1,1,0,1,120.5883871,"energy_total_location_out",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,359.1,367.44,346.39,1,1,0,0,0,0,53.8,66.9,0,0,0,25203,0
20170803,30908,127425,124600,128200,1,1,1,0,75.7583871,"energy_total_location_in",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,359.1,367.44,346.39,1,1,0,0,0,0,53.8,66.9,0,0,0,27,0
20170808,1433,114663,106200,116700,1,1,0,1,120.5883871,"energy_total_location_out",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,363.32,369.7,348.64,1,2,0,0,1,1,133.6,169.5,5,0,0,30908,0
20170808,20145,126957,125300,128000,1,1,1,0,75.7583871,"energy_total_location_in",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,363.32,369.7,348.64,1,2,0,0,1,1,133.6,169.5,5,0,0,1433,0
20170810,87,116570,115800,116800,1,1,0,1,120.5883871,"energy_total_location_out",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,368.42,370.42,346.79,0,0,0,0,2,0,48.5,58.3,8,0,0,20145,0
20170810,26780,127779,123500,129000,1,1,1,0,75.7583871,"energy_total_location_in",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,368.42,370.42,346.79,0,0,0,0,2,0,48.5,58.3,8,0,0,87,0
20170817,32,116400,116400,116400,1,1,0,1,120.5883871,"energy_total_location_out",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,348.72,365.78,337.54,1,0,0,0,5,1,156.9,199,98,0,0,26780,0
20170817,31877,126781,125000,128000,1,1,1,0,75.7583871,"energy_total_location_in",201708,104.23,109.72,101.46,104.96,104.4,0.00844286673702398,0.0202333211811885,0.00206978119455937,0.00114329268292674,0.00680076628352498,348.72,365.78,337.54,1,0,0,0,5,1,156.9,199,98,0,0,32,0
