"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type"
20170725,11169,125346,125000,126000,1,1,1,0,76.04806452,"energy_total_location_in"
20170727,273,115080,115000,115100,1,1,0,1,123.6919355,"energy_total_location_out"
20170727,23735,126235,125000,128000,1,1,1,0,76.04806452,"energy_total_location_in"
20170801,112,114775,114700,115400,1,1,0,1,120.5883871,"energy_total_location_out"
20170801,25203,127337,123000,128000,1,1,1,0,75.7583871,"energy_total_location_in"
20170803,27,115600,115600,115600,1,1,0,1,120.5883871,"energy_total_location_out"
20170803,30908,127425,124600,128200,1,1,1,0,75.7583871,"energy_total_location_in"
20170808,1433,114663,106200,116700,1,1,0,1,120.5883871,"energy_total_location_out"
20170808,20145,126957,125300,128000,1,1,1,0,75.7583871,"energy_total_location_in"
20170810,87,116570,115800,116800,1,1,0,1,120.5883871,"energy_total_location_out"
20170810,26780,127779,123500,129000,1,1,1,0,75.7583871,"energy_total_location_in"
20170817,32,116400,116400,116400,1,1,0,1,120.5883871,"energy_total_location_out"
20170817,31877,126781,125000,128000,1,1,1,0,75.7583871,"energy_total_location_in"
20170822,322,115516,114100,117800,1,1,0,1,120.5883871,"energy_total_location_out"
20170822,35678,127497,125400,129000,1,1,1,0,75.7583871,"energy_total_location_in"
20170824,226,115446,115000,115800,1,1,0,1,120.5883871,"energy_total_location_out"
20170824,16372,126890,125900,127400,1,1,1,0,75.7583871,"energy_total_location_in"
20170829,93,112989,112000,113000,1,1,0,1,120.5883871,"energy_total_location_out"
20170829,17186,126391,125000,127100,1,1,1,0,75.7583871,"energy_total_location_in"
20170831,117,113920,113400,115800,1,1,0,1,120.5883871,"energy_total_location_out"
20170831,30426,127021,120000,128000,1,1,1,0,75.7583871,"energy_total_location_in"
20170905,562,114003,108300,115900,1,1,0,1,111.7263333,"energy_total_location_out"
20170905,59186,127579,123800,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20170907,681,116788,116300,116800,1,1,0,1,111.7263333,"energy_total_location_out"
20170907,35189,127179,124600,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20170912,147,113593,112900,114400,1,1,0,1,111.7263333,"energy_total_location_out"
20170912,12243,126140,125100,127000,1,1,1,0,72.55833333,"energy_total_location_in"
20170914,3011,114565,114100,116300,1,1,0,1,111.7263333,"energy_total_location_out"
20170914,46349,127421,125200,127900,1,1,1,0,72.55833333,"energy_total_location_in"
20170919,151,114670,108800,116700,1,1,0,1,111.7263333,"energy_total_location_out"
20170919,43603,127675,126000,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20170921,448,115857,115800,116700,1,1,0,1,111.7263333,"energy_total_location_out"
20170921,55558,127652,125100,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20170926,670,112322,108800,116800,1,1,0,1,111.7263333,"energy_total_location_out"
20170926,32933,127598,125100,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20170928,2615,117332,108300,118000,1,1,0,1,111.7263333,"energy_total_location_out"
20170928,61659,127372,125000,128000,1,1,1,0,72.55833333,"energy_total_location_in"
20171010,294,112600,112600,112600,1,1,0,1,115.9451613,"energy_total_location_out"
20171010,7928,126215,120000,127000,1,1,1,0,71.28548387,"energy_total_location_in"
20171012,1436,113989,107800,116800,1,1,0,1,115.9451613,"energy_total_location_out"
20171012,105024,127471,124500,128000,1,1,1,0,71.28548387,"energy_total_location_in"
20171017,782,114993,113300,116800,1,1,0,1,115.9451613,"energy_total_location_out"
20171017,42197,127453,123000,128000,1,1,1,0,71.28548387,"energy_total_location_in"
20171019,887,114975,114600,116800,1,1,0,1,115.9451613,"energy_total_location_out"
